,,R_Foot,R_Foot,R_Foot,L_Foot,L_Foot,L_Foot,Lower_Trunk,Lower_Trunk,Lower_Trunk,R_Thigh,R_Thigh,R_Thigh,R_Shank,R_Shank,R_Shank,Mid_Trunk,Mid_Trunk,Mid_Trunk,L_Shank,L_Shank,L_Shank,R_Forearm,R_Forearm,R_Forearm,R_Hand,R_Hand,R_Hand,L_Hand,L_Hand,L_Hand,R_Arm,R_Arm,R_Arm,Upper_Trunk,Upper_Trunk,Upper_Trunk,Head,Head,Head,L_Forearm,L_Forearm,L_Forearm,L_Arm,L_Arm,L_Arm,L_Thigh,L_Thigh,L_Thigh
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0,0.071404,0.18179,0.858035,0.079877,0.166467,0.645816,0.053299,1.168115,0.708826,0.087206,0.7283,0.868848,0.073183,0.363498,0.871876,0.051859,1.339357,0.72694,0.07333,0.354497,0.641524,0.177018,1.053194,0.992588,0.236348,0.889696,1.004977,0.228652,0.911586,0.482046,0.109597,1.337323,0.950898,0.08643,1.531847,0.742947,0.127901,1.718468,0.710593,0.177295,1.082105,0.50798,0.113761,1.345999,0.551912,0.091507,0.717862,0.6554
1,0.008333,0.071401,0.181793,0.858028,0.079892,0.166493,0.645808,0.053337,1.168125,0.70882,0.08722,0.728315,0.868848,0.073184,0.363504,0.871878,0.051915,1.339359,0.726883,0.073326,0.354501,0.641534,0.177115,1.053213,0.992571,0.236464,0.889737,1.004972,0.228673,0.911575,0.482067,0.109666,1.337325,0.950861,0.086497,1.531854,0.742893,0.128004,1.718463,0.710569,0.177313,1.082097,0.50797,0.11381,1.345996,0.551887,0.09152,0.71786,0.655406
2,0.016667,0.071398,0.1818,0.858027,0.079889,0.166458,0.645818,0.053365,1.16813,0.70882,0.087232,0.728324,0.868837,0.073195,0.363499,0.871864,0.051948,1.339363,0.726829,0.073328,0.354497,0.641535,0.177221,1.053227,0.992536,0.236582,0.889764,1.004934,0.228686,0.911559,0.482084,0.109734,1.337354,0.950816,0.086561,1.531857,0.742818,0.128116,1.71845,0.710431,0.17735,1.082071,0.507965,0.11383,1.346007,0.551824,0.091519,0.717861,0.655396
3,0.025,0.071405,0.181792,0.858019,0.079903,0.166485,0.645809,0.053393,1.168134,0.708814,0.087249,0.72834,0.868841,0.0732,0.3635,0.871871,0.051992,1.339368,0.726805,0.07333,0.354502,0.641533,0.177325,1.053235,0.992494,0.236684,0.889788,1.004896,0.228728,0.911526,0.482103,0.109809,1.337387,0.950762,0.086614,1.531868,0.742796,0.12823,1.71846,0.710321,0.177394,1.082056,0.507963,0.113868,1.34599,0.551796,0.091533,0.71786,0.655399
4,0.033333,0.071413,0.181784,0.858019,0.079907,0.166482,0.645798,0.053427,1.168134,0.708815,0.087256,0.728349,0.868845,0.073207,0.363508,0.871867,0.052025,1.339351,0.726776,0.07334,0.354495,0.641527,0.177398,1.053262,0.992515,0.236785,0.889818,1.00487,0.228766,0.911511,0.482123,0.109881,1.337426,0.950711,0.086682,1.531867,0.742748,0.128334,1.718478,0.710277,0.177431,1.082033,0.507978,0.113875,1.345987,0.551727,0.09154,0.717854,0.655395
5,0.041667,0.071413,0.181791,0.858009,0.079906,0.166483,0.645792,0.053458,1.168131,0.708826,0.087279,0.728347,0.868838,0.073208,0.363511,0.871862,0.05206,1.33936,0.726764,0.073343,0.3545,0.641504,0.177497,1.05325,0.992473,0.236868,0.889838,1.004856,0.228798,0.911489,0.48214,0.10996,1.337458,0.950675,0.086733,1.53188,0.742727,0.128437,1.718525,0.710168,0.177468,1.08201,0.508002,0.113911,1.345936,0.551725,0.091532,0.717864,0.655378
6,0.05,0.07142,0.181792,0.858015,0.079893,0.16648,0.645788,0.053485,1.168133,0.708831,0.087297,0.728344,0.868844,0.073217,0.363517,0.871878,0.052103,1.339365,0.726775,0.073343,0.354495,0.641501,0.177598,1.053231,0.992389,0.236943,0.889863,1.004869,0.228859,0.911456,0.48216,0.110034,1.337484,0.950673,0.086814,1.531879,0.742679,0.128539,1.718574,0.710126,0.177487,1.081992,0.508007,0.113928,1.345913,0.551706,0.091522,0.717869,0.655384
7,0.058333,0.071424,0.181797,0.858019,0.079895,0.166455,0.645807,0.053515,1.168137,0.708826,0.087315,0.728336,0.86884,0.073216,0.363521,0.871865,0.05215,1.339355,0.726761,0.073325,0.354507,0.641496,0.177687,1.053241,0.992364,0.237009,0.889875,1.004891,0.228908,0.911439,0.482172,0.110104,1.337502,0.950676,0.086856,1.531888,0.742651,0.128639,1.718645,0.710082,0.177522,1.081953,0.508019,0.113927,1.345883,0.551667,0.091513,0.717882,0.655361
8,0.066667,0.071422,0.181788,0.858016,0.079898,0.166459,0.645816,0.053546,1.168128,0.708812,0.087339,0.72834,0.868852,0.073219,0.363528,0.871872,0.052195,1.339364,0.726759,0.073312,0.354506,0.641504,0.177749,1.053269,0.992366,0.237057,0.889904,1.004922,0.22896,0.911403,0.482184,0.110198,1.337507,0.950692,0.086897,1.53188,0.742615,0.128733,1.718694,0.710037,0.17754,1.08192,0.508022,0.113953,1.345835,0.551682,0.09151,0.717895,0.655355
