Format Version,1.21,Take Name,Take 2020-08-25 01.32.39 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2020-08-25 01.32.39.797 PM,Total Frames in Take,2954,Total Exported Frames,2954,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,cal_3,cal_3,cal_3,cal_2,cal_2,cal_2,right_foot,right_foot,right_foot,left_foot,left_foot,left_foot,left_shank,left_shank,left_shank,left_thigh,left_thigh,left_thigh,upper_trunk,upper_trunk,upper_trunk,mid_trunk,mid_trunk,mid_trunk,cal_1,cal_1,cal_1,right_thigh,right_thigh,right_thigh,lower_trunk,lower_trunk,lower_trunk,right_shank,right_shank,right_shank,right_arm,right_arm,right_arm,right_forearm,right_forearm,right_forearm,left_forearm,left_forearm,left_forearm,head,head,head,left_hand,left_hand,left_hand,right_arm,right_arm,right_arm
,,"8392B20CF49E35701F9","8392B20CF49E35701F9","8392B20CF49E35701F9","8392B20CF49E35701FB","8392B20CF49E35701FB","8392B20CF49E35701FB","8392B20CF49E3570450","8392B20CF49E3570450","8392B20CF49E3570450","8392B20CF49E357045A","8392B20CF49E357045A","8392B20CF49E357045A","8392B20CF49E3570472","8392B20CF49E3570472","8392B20CF49E3570472","8392B20CF49E3570475","8392B20CF49E3570475","8392B20CF49E3570475","8392B20CF49E357047A","8392B20CF49E357047A","8392B20CF49E357047A","8392B20CF49E3570483","8392B20CF49E3570483","8392B20CF49E3570483","8392B20CF49E3570485","8392B20CF49E3570485","8392B20CF49E3570485","8392B20CF49E35704B0","8392B20CF49E35704B0","8392B20CF49E35704B0","8392B20CF49E35704B7","8392B20CF49E35704B7","8392B20CF49E35704B7","8392B20CF49E35704B9","8392B20CF49E35704B9","8392B20CF49E35704B9","8392B20CF49E35704C3","8392B20CF49E35704C3","8392B20CF49E35704C3","8392B20CF49E35704C6","8392B20CF49E35704C6","8392B20CF49E35704C6","8392B20CF49E35704C8","8392B20CF49E35704C8","8392B20CF49E35704C8","8392B20CF49E35704CA","8392B20CF49E35704CA","8392B20CF49E35704CA","8392B20CF49E35704D0","8392B20CF49E35704D0","8392B20CF49E35704D0","8392B20CF49E35704D2","8392B20CF49E35704D2","8392B20CF49E35704D2"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.010129,0.070277,0.409560,0.009910,0.070333,0.009911,0.074539,0.178083,0.851373,0.076565,0.166162,0.649583,0.068631,0.354123,0.651343,0.090545,0.716566,0.667523,0.091531,1.529811,0.747521,0.057634,1.334659,0.747043,0.310164,0.070416,0.011587,0.096386,0.732459,0.875354,0.061185,1.159912,0.731712,0.072236,0.362466,0.873187,0.143407,1.343300,0.996078,0.188471,1.064127,1.057842,0.166311,1.056039,0.485674,0.131042,1.718529,0.734016,0.156151,0.874858,0.499778,0.195105,0.862317,1.023006
1,0.008333,0.010123,0.070278,0.409559,0.009911,0.070324,0.009905,0.074538,0.178075,0.851358,0.076573,0.166156,0.649559,0.068645,0.354123,0.651342,0.090565,0.716558,0.667562,0.091598,1.529783,0.747476,0.057654,1.334656,0.746993,0.310161,0.070417,0.011585,0.096384,0.732471,0.875399,0.061183,1.159911,0.731718,0.072242,0.362461,0.873189,0.143427,1.343324,0.996126,0.188494,1.064154,1.057969,0.166382,1.056026,0.485783,0.131163,1.718505,0.733759,0.156155,0.874888,0.499911,0.195119,0.862366,1.023145
2,0.016667,0.010125,0.070276,0.409561,0.009909,0.070327,0.009902,0.074533,0.178069,0.851350,0.076571,0.166156,0.649542,0.068676,0.354133,0.651325,0.090593,0.716557,0.667601,0.091662,1.529770,0.747449,0.057684,1.334664,0.746971,0.310153,0.070412,0.011581,0.096398,0.732470,0.875428,0.061179,1.159916,0.731743,0.072258,0.362459,0.873207,0.143453,1.343348,0.996190,0.188517,1.064189,1.058108,0.166450,1.056024,0.485881,0.131292,1.718480,0.733563,0.156167,0.874886,0.500045,0.195149,0.862404,1.023283
3,0.025000,0.010127,0.070274,0.409554,0.009903,0.070324,0.009891,0.074528,0.178071,0.851345,0.076575,0.166165,0.649534,0.068695,0.354128,0.651319,0.090618,0.716549,0.667639,0.091703,1.529764,0.747444,0.057710,1.334655,0.746962,0.310153,0.070408,0.011581,0.096399,0.732475,0.875463,0.061188,1.159913,0.731763,0.072277,0.362457,0.873195,0.143480,1.343362,0.996236,0.188546,1.064222,1.058245,0.166514,1.056016,0.485976,0.131390,1.718440,0.733377,0.156192,0.874874,0.500193,0.195176,0.862437,1.023425
4,0.033333,0.010125,0.070282,0.409549,0.009906,0.070321,0.009894,0.074529,0.178073,0.851335,0.076579,0.166167,0.649525,0.068714,0.354135,0.651329,0.090641,0.716558,0.667671,0.091744,1.529765,0.747448,0.057750,1.334645,0.746950,0.310152,0.070416,0.011574,0.096411,0.732477,0.875493,0.061188,1.159915,0.731816,0.072294,0.362446,0.873197,0.143509,1.343390,0.996284,0.188582,1.064256,1.058354,0.166571,1.056000,0.486081,0.131483,1.718430,0.733203,0.156205,0.874873,0.500352,0.195185,0.862483,1.023577
5,0.041667,0.010110,0.070283,0.409556,0.009907,0.070321,0.009895,0.074534,0.178073,0.851333,0.076570,0.166167,0.649549,0.068702,0.354133,0.651347,0.090662,0.716571,0.667717,0.091808,1.529757,0.747449,0.057778,1.334654,0.746982,0.310146,0.070406,0.011577,0.096428,0.732466,0.875517,0.061196,1.159933,0.731887,0.072305,0.362442,0.873203,0.143538,1.343412,0.996344,0.188629,1.064285,1.058468,0.166609,1.055992,0.486181,0.131567,1.718425,0.733122,0.156209,0.874861,0.500495,0.195214,0.862528,1.023740
