,,R_Arm,R_Arm,R_Arm,R_Shoulder,R_Shoulder,R_Shoulder,R_Forearm,R_Forearm,R_Forearm,R_Wrist,R_Wrist,R_Wrist
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0,0.934579,1.345823,1.048112,0.875761,1.511705,1.119598,0.911102,1.148441,0.896224,0.889713,1.063682,0.808008
1,0.008333,0.934157,1.345669,1.04678,0.875712,1.511626,1.118617,0.910231,1.148168,0.895157,0.888383,1.063263,0.806697
2,0.016667,0.933658,1.345582,1.045518,0.8757,1.511535,1.117643,0.909164,1.147869,0.89399,0.887115,1.062728,0.80574
3,0.025,0.933269,1.345476,1.044219,0.875663,1.511462,1.116585,0.908105,1.147643,0.892776,0.885657,1.06231,0.804991
4,0.033333,0.932874,1.345392,1.042911,0.875568,1.511354,1.115611,0.907,1.14734,0.891635,0.88413,1.06196,0.804228
5,0.041667,0.932389,1.345254,1.041675,0.87548,1.51131,1.114511,0.905848,1.147229,0.890471,0.882541,1.061669,0.803424
6,0.05,0.931988,1.345112,1.040323,0.875446,1.511234,1.113503,0.90474,1.147123,0.889215,0.880882,1.061379,0.802438
7,0.058333,0.931497,1.345055,1.038887,0.875377,1.511165,1.11252,0.903389,1.146992,0.887982,0.878936,1.061158,0.801443
8,0.066667,0.930992,1.344998,1.037622,0.875282,1.511066,1.111466,0.901956,1.146796,0.886786,0.876836,1.060957,0.800518
9,0.075,0.930518,1.344945,1.036242,0.875123,1.511033,1.110276,0.900444,1.146832,0.885488,0.874784,1.060855,0.799542
10,0.083333,0.92997,1.34489,1.034899,0.875006,1.510926,1.109151,0.898963,1.146917,0.884356,0.872671,1.06079,0.798439
11,0.091667,0.929445,1.344822,1.033502,0.87489,1.51083,1.108177,0.89736,1.146929,0.883096,0.870462,1.060822,0.797404
12,0.1,0.928786,1.344771,1.032142,0.874771,1.510735,1.107112,0.895595,1.146984,0.881873,0.868087,1.060805,0.796361
13,0.108333,0.928268,1.344748,1.030678,0.874542,1.510588,1.105824,0.893735,1.14698,0.88069,0.865697,1.061008,0.79517
14,0.116667,0.927635,1.344705,1.029334,0.874346,1.510416,1.104689,0.891683,1.146754,0.87956,0.863235,1.061237,0.794066
15,0.125,0.927082,1.344658,1.027943,0.874194,1.510283,1.103696,0.889851,1.146908,0.878294,0.860731,1.061461,0.792857
16,0.133333,0.92644,1.344663,1.026527,0.874056,1.51022,1.102608,0.887942,1.146862,0.877029,0.858071,1.061662,0.791688
17,0.141667,0.925788,1.34451,1.02514,0.873896,1.510272,1.10136,0.885985,1.147037,0.87574,0.855501,1.062094,0.790501
18,0.15,0.925113,1.344489,1.023824,0.873757,1.510152,1.100411,0.884043,1.147189,0.874524,0.852641,1.062469,0.789332
19,0.158333,0.924515,1.344461,1.022266,0.873631,1.510067,1.099345,0.882115,1.147531,0.873105,0.849864,1.062865,0.788202
20,0.166667,0.923857,1.344454,1.020953,0.873518,1.509994,1.098252,0.880053,1.14779,0.87182,0.84703,1.063433,0.786996
21,0.175,0.923217,1.344458,1.019417,0.873306,1.509889,1.097154,0.877969,1.148076,0.87056,0.843975,1.063964,0.785826
